,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40
Class,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ACP6|51205,624,797,457,377,572,579,2000,1878,1339,853,1001,1162,1385,1505,1235,1191,955,2174,2288,1506,765,495,363,537,531,295,329,768,1274,634,1267,417,1366,602,965,691,423,611,1190,713
ADIPOQ|9370,0,10,0,291,1,236,0,2,0,3,2545,0,30,1,0,32,1,0,1,0,0,2,0,0,0,0,0,1,1,0,31,0,0,0,0,0,0,2,2,0
ABHD11|83451,941,984,677,883,858,815,3672,2051,1772,1281,1596,1519,1613,1920,3731,2463,2122,2122,4466,2701,1912,990,1903,941,997,707,1505,1380,862,1951,1050,542,1005,3283,1113,1255,894,1631,2393,1266
AIFM3|150209,69,31,49,12,20,25,26,69,39,15,33,57,29,17,30,20,23,24,29,34,66,36,69,31,94,57,33,44,65,32,61,5,57,13,19,19,55,13,18,18
ACR|49,29,25,11,5,5,12,1,3,34,5,12,22,4,12,8,3,1,0,4,4,19,20,4,5,44,17,2,23,14,20,42,12,20,21,5,8,17,53,18,8
AKAP11|11215,3679,4408,2534,3158,4832,3782,6633,12678,5919,6076,5847,6406,6645,9334,8864,5890,2359,4954,9086,7755,5408,5554,5607,4054,4193,2241,1791,4538,8906,5163,6251,3482,3312,4943,6009,7598,3368,4691,4833,9223
AFTPH|54812,5199,5259,3920,2929,4880,3955,6943,6369,8080,4496,5306,8746,6957,8416,8240,6437,3255,4907,7393,9663,5269,5010,4087,3555,4283,1707,2607,8538,9556,7019,6002,4434,5760,6657,4979,9556,3637,11056,4752,6996
AIF1L|83543,36013,25138,19376,24988,22548,32812,149996,159633,47849,99732,46526,51061,146808,145283,188788,163390,83672,123754,276082,117081,12392,8699,1648,1305,3195,892,1011,28386,9222,22460,2526,8473,5058,8930,1069,24185,3309,17938,8756,2953
AHCY|191,24040,31894,19966,3591,14391,9185,9100,10825,34799,5765,11321,25010,5936,9588,9446,8447,4025,7841,9112,14980,10899,7797,4152,5410,7278,8330,10902,8285,9297,12389,10712,9496,11549,13830,11460,10808,11712,24714,11971,12382
?|10357,140,144,61,126,185,126,344,313,181,277,217,267,156,326,396,318,247,342,337,332,196,197,171,216,149,139,192,212,337,422,302,145,188,235,286,270,130,256,223,331
ADAMTS6|11174,44,19,17,53,10,52,63,97,48,121,94,53,160,198,348,81,63,69,378,137,49,26,29,72,74,53,32,249,126,73,76,18,29,37,14,156,20,139,25,16
ADAT2|134637,138,105,61,81,70,181,310,190,137,169,149,171,151,280,355,169,120,208,183,257,342,273,236,188,267,223,99,365,436,220,107,160,139,252,314,381,64,334,150,199
ABCD2|225,83,93,80,59,150,51,15,13,130,17,87,92,5,28,12,2,3,6,4,47,223,69,23,33,76,130,74,377,269,130,73,57,201,21,40,290,96,69,81,149
AEBP2|121536,1229,1264,1113,1504,1331,1510,3178,3107,1957,2638,2380,2685,2591,3601,3651,2430,1283,2004,3116,3890,2487,2216,1957,2096,2113,1583,2222,2361,3054,3267,2838,1389,1737,2428,3650,3500,2591,2072,2584,3046
?|155060,207,105,66,83,53,286,307,134,192,255,144,196,300,287,512,167,166,174,400,195,359,736,542,361,463,381,255,607,1353,116,205,87,240,211,193,342,202,192,141,185
ACO1|48,9431,16178,8726,2748,14853,10556,7653,8183,34161,4823,15069,26484,6355,8420,9027,7780,3604,6880,8806,13788,4989,4344,4175,3506,4735,2371,3018,7701,6394,10372,6341,3744,4751,5461,6306,7676,7279,8944,6208,4960
ADAMTS13|11093,118,101,59,55,30,120,215,107,114,150,135,199,125,138,333,85,104,115,288,108,141,200,207,65,108,73,18,208,339,27,36,46,63,85,28,73,69,56,78,28
AHSP|51327,0,4,0,2,1,0,2,7,0,2,5,0,0,0,1,4,1,5,2,7,2,0,1,22,0,0,0,0,3,6,0,0,0,1,2,0,0,0,0,2
AGTPBP1|23287,754,760,505,802,1188,824,1155,1553,1474,1407,1428,1371,1413,2008,2116,1669,699,1304,2172,1612,1194,1273,1114,921,991,691,573,1694,1640,1938,983,890,1043,1063,1111,2259,772,2324,1654,1171
AFAP1L2|84632,1782,1174,889,1680,1295,2296,17563,24597,1969,11198,3915,3158,11383,13984,9398,11699,6413,16573,14943,7400,826,1162,746,876,1156,2188,959,3515,1615,3161,1133,836,823,1361,1027,3306,272,2127,1489,1421
